period,month,week,beginning_balance_rp_juta,total_inflow_rp_juta,total_outflow_rp_juta,netflow_rp_juta,ending_balance_rp_juta
May-26 W1,May-26,W1,337737,799295,-1107832,-308537,29200
May-26 W2,May-26,W2,29200,173661,-176125,-2464,26736
May-26 W3,May-26,W3,26736,376621,-399712,-23090,3646
May-26 W4,May-26,W4,3646,708743,-733219,-24476,-20830
Jun-26 W1,Jun-26,W1,-20830,566258,-549650,16607,-4223
Jun-26 W2,Jun-26,W2,-4223,818142,-833040,-14898,-19121
Jun-26 W3,Jun-26,W3,-19121,388910,-446274,-57364,-76485
Jun-26 W4,Jun-26,W4,-76485,483221,-508352,-25131,-101616
