model_name,target,train_mae,val_mae,test_mae,train_rmse,val_rmse,test_rmse,train_mape,val_mape,test_mape,val_r2,test_r2
RandomForest,inflow,12791.127454231291,33274.989832926876,1030.3307779574634,23700.27089182385,57988.68642263418,1415.2034783966815,14.867939592749357,27.730202432080752,439.40011932978786,0.8765793530419691,-4.86254845591674
RandomForest,outflow,12705.216508897298,42645.044271446095,117.29246907274039,24248.16134551088,70425.69339867443,295.2629622074972,17.40665773508874,150.3000576692285,243.02926225765296,0.6681129438475858,-0.11802302775583118
